name	YB1_aer_MinION_count	YB1_aer_0508_count	YB1_ana_v2_count	YB1_ana_0507_count	YB1_ana_0508_count	YB1_aer_clone_0516_count	YB1_ana_clone_0516_count	SL7207_aer_0507_count	SL7207_aer_0509_count	SL7207_ana_0509_count	dAsd_aer_0511_count	dAsd_ana_0512_count	dAsd_aer_0514_count	dAsd_ana_0514_count	PW_aer_0515_count	PW_ana_0515_count	YB1_aer_MinION_cpm	YB1_aer_0508_cpm	YB1_ana_v2_cpm	YB1_ana_0507_cpm	YB1_ana_0508_cpm	YB1_aer_clone_0516_cpm	YB1_ana_clone_0516_cpm	SL7207_aer_0507_cpm	SL7207_aer_0509_cpm	SL7207_ana_0509_cpm	dAsd_aer_0511_cpm	dAsd_ana_0512_cpm	dAsd_aer_0514_cpm	dAsd_ana_0514_cpm	PW_aer_0515_cpm	PW_ana_0515_cpm
SL1344_RS00265	0	3	0	1	4	3	4	3	3	10	1	3	0	7	2	6	0.00	3.50	0.00	1.20	8.05	3.50	4.83	4.15	5.06	7.75	1.12	3.24	0.00	7.42	2.10	6.58
SL1344_RS00270	1	5	0	5	6	3	4	11	6	17	5	5	1	5	3	4	3.51	5.84	0.00	6.01	12.07	3.50	4.83	15.23	10.12	13.17	5.62	5.41	3.32	5.30	3.15	4.39
SL1344_RS00275	1	0	1	0	1	1	0	3	0	0	0	1	0	0	0	0	3.51	0.00	7.21	0.00	2.01	1.17	0.00	4.15	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00
oadA	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	1.08	0.00	0.00	1.05	1.10
SL1344_RS00285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
citS	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0.00	1.17	0.00	0.00	0.00	2.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
citC	1	6	1	12	9	38	21	7	9	15	29	19	9	19	17	45	3.51	7.01	7.21	14.41	18.11	44.31	25.34	9.69	15.18	11.62	32.61	20.54	29.87	20.14	17.85	49.35
citD	1	8	2	10	6	33	18	2	6	11	21	14	6	19	19	33	3.51	9.35	14.43	12.01	12.07	38.48	21.72	2.77	10.12	8.52	23.61	15.14	19.91	20.14	19.95	36.19
citE	1	11	4	12	7	35	23	7	16	22	40	18	9	33	36	50	3.51	12.85	28.85	14.41	14.09	40.82	27.75	9.69	26.99	17.04	44.97	19.46	29.87	34.99	37.80	54.84
citF	3	18	6	21	16	29	47	9	18	41	62	35	15	42	52	64	10.53	21.03	43.28	25.23	32.20	33.82	56.70	12.46	30.37	31.76	69.71	37.84	49.78	44.53	54.60	70.19
citX	86	262	55	196	96	28	163	221	75	222	312	533	56	367	115	121	301.99	306.10	396.73	235.44	193.20	32.65	196.65	305.91	126.54	171.99	350.80	576.30	185.86	389.10	120.75	132.71
citG	1	10	1	9	6	10	25	5	6	23	18	6	5	18	18	25	3.51	11.68	7.21	10.81	12.07	11.66	30.16	6.92	10.12	17.82	20.24	6.49	16.59	19.08	18.90	27.42
dapB	3	5	1	9	4	6	11	3	4	13	21	33	5	16	6	17	10.53	5.84	7.21	10.81	8.05	7.00	13.27	4.15	6.75	10.07	23.61	35.68	16.59	16.96	6.30	18.64
SL1344_RS27595	0	2	0	2	2	2	0	0	0	2	2	2	1	3	2	4	0.00	2.34	0.00	2.40	4.02	2.33	0.00	0.00	0.00	1.55	2.25	2.16	3.32	3.18	2.10	4.39
carA	0	1	0	3	3	1	0	2	2	1	4	3	2	1	2	1	0.00	1.17	0.00	3.60	6.04	1.17	0.00	2.77	3.37	0.77	4.50	3.24	6.64	1.06	2.10	1.10
carB	2	4	1	10	5	9	5	7	5	4	4	12	1	7	9	1	7.02	4.67	7.21	12.01	10.06	10.50	6.03	9.69	8.44	3.10	4.50	12.97	3.32	7.42	9.45	1.10
caiF	2	3	0	8	1	11	11	3	1	11	8	8	1	8	6	12	7.02	3.50	0.00	9.61	2.01	12.83	13.27	4.15	1.69	8.52	8.99	8.65	3.32	8.48	6.30	13.16
caiE	3	2	0	8	2	7	7	3	1	8	7	4	2	5	4	9	10.53	2.34	0.00	9.61	4.02	8.16	8.45	4.15	1.69	6.20	7.87	4.32	6.64	5.30	4.20	9.87
caiD	0	1	0	1	0	1	1	1	0	0	1	0	0	2	0	0	0.00	1.17	0.00	1.20	0.00	1.17	1.21	1.38	0.00	0.00	1.12	0.00	0.00	2.12	0.00	0.00
caiC	1	3	0	0	1	1	3	1	2	2	1	3	0	3	0	1	3.51	3.50	0.00	0.00	2.01	1.17	3.62	1.38	3.37	1.55	1.12	3.24	0.00	3.18	0.00	1.10
caiA	0	1	0	0	1	4	1	0	0	1	4	2	1	2	1	1	0.00	1.17	0.00	0.00	2.01	4.66	1.21	0.00	0.00	0.77	4.50	2.16	3.32	2.12	1.05	1.10
caiT	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	1.12	0.00	0.00	0.00	1.05	0.00
SL1344_RS00385	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_RS00390	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	2.41	0.00	1.69	0.00	0.00	1.08	0.00	0.00	0.00	0.00
SL1344_RS00395	1	0	0	0	0	0	1	2	1	1	2	0	1	1	0	2	3.51	0.00	0.00	0.00	0.00	0.00	1.21	2.77	1.69	0.77	2.25	0.00	3.32	1.06	0.00	2.19
fixX	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.32	0.00	0.00	1.10
SL1344_RS00405	1	1	0	0	2	0	1	7	2	3	6	5	0	6	0	3	3.51	1.17	0.00	0.00	4.02	0.00	1.21	9.69	3.37	2.32	6.75	5.41	0.00	6.36	0.00	3.29
SL1344_RS00410	0	3	0	3	0	1	0	1	3	2	2	2	0	2	1	3	0.00	3.50	0.00	3.60	0.00	1.17	0.00	1.38	5.06	1.55	2.25	2.16	0.00	2.12	1.05	3.29
SL1344_RS00415	2	1	0	3	0	7	4	2	6	1	5	2	1	4	3	0	7.02	1.17	0.00	3.60	0.00	8.16	4.83	2.77	10.12	0.77	5.62	2.16	3.32	4.24	3.15	0.00
srfN	0	4	0	1	1	2	0	0	4	2	1	0	0	3	3	3	0.00	4.67	0.00	1.20	2.01	2.33	0.00	0.00	6.75	1.55	1.12	0.00	0.00	3.18	3.15	3.29
SL1344_RS00430	2	0	0	1	1	0	2	1	7	9	1	1	0	0	1	1	7.02	0.00	0.00	1.20	2.01	0.00	2.41	1.38	11.81	6.97	1.12	1.08	0.00	0.00	1.05	1.10
kefF	1	0	0	1	2	0	0	0	0	1	2	0	1	1	0	0	3.51	0.00	0.00	1.20	4.02	0.00	0.00	0.00	0.00	0.77	2.25	0.00	3.32	1.06	0.00	0.00
kefC	0	4	0	1	1	2	1	1	7	4	4	1	1	3	1	4	0.00	4.67	0.00	1.20	2.01	2.33	1.21	1.38	11.81	3.10	4.50	1.08	3.32	3.18	1.05	4.39
folA	2	15	1	11	10	17	14	8	16	29	6	6	2	22	12	12	7.02	17.52	7.21	13.21	20.12	19.82	16.89	11.07	26.99	22.47	6.75	6.49	6.64	23.32	12.60	13.16
apaH	6	21	5	22	19	20	18	14	22	67	9	19	5	23	14	15	21.07	24.53	36.07	26.43	38.24	23.32	21.72	19.38	37.12	51.91	10.12	20.54	16.59	24.38	14.70	16.45
apaG	7	13	2	36	21	27	21	16	18	62	13	24	7	22	19	15	24.58	15.19	14.43	43.24	42.26	31.49	25.34	22.15	30.37	48.03	14.62	25.95	23.23	23.32	19.95	16.45
rsmA	11	25	6	44	27	33	33	30	25	75	31	36	12	33	27	35	38.63	29.21	43.28	52.85	54.34	38.48	39.81	41.53	42.18	58.10	34.85	38.92	39.83	34.99	28.35	38.39
pdxA	14	25	12	48	19	34	49	32	32	85	33	47	18	30	30	36	49.16	29.21	86.56	57.66	38.24	39.65	59.12	44.29	53.99	65.85	37.10	50.82	59.74	31.81	31.50	39.48
surA	6	28	8	44	25	22	37	28	22	67	35	23	11	33	19	37	21.07	32.71	57.71	52.85	50.31	25.66	44.64	38.76	37.12	51.91	39.35	24.87	36.51	34.99	19.95	40.58
lptD	12	46	6	35	24	36	36	41	38	92	58	33	17	49	36	38	42.14	53.74	43.28	42.04	48.30	41.98	43.43	56.75	64.11	71.28	65.21	35.68	56.42	51.95	37.80	41.68
djlA	6	14	2	18	11	9	9	8	9	35	12	13	5	23	10	12	21.07	16.36	14.43	21.62	22.14	10.50	10.86	11.07	15.18	27.12	13.49	14.06	16.59	24.38	10.50	13.16
rluA	3	13	0	14	11	9	4	8	12	29	8	16	5	22	6	7	10.53	15.19	0.00	16.82	22.14	10.50	4.83	11.07	20.25	22.47	8.99	17.30	16.59	23.32	6.30	7.68
rapA	1	6	0	6	4	11	6	4	12	34	4	8	2	9	7	5	3.51	7.01	0.00	7.21	8.05	12.83	7.24	5.54	20.25	26.34	4.50	8.65	6.64	9.54	7.35	5.48
polB	3	30	1	18	22	21	22	35	29	58	12	12	7	20	32	18	10.53	35.05	7.21	21.62	44.27	24.49	26.54	48.45	48.93	44.93	13.49	12.97	23.23	21.20	33.60	19.74
SL1344_RS00500	0	3	0	5	1	2	1	2	2	1	2	0	0	1	2	1	0.00	3.50	0.00	6.01	2.01	2.33	1.21	2.77	3.37	0.77	2.25	0.00	0.00	1.06	2.10	1.10
SL1344_RS00505	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.38	0.00	0.00	2.25	0.00	3.32	0.00	0.00	1.10
araD	0	1	0	1	0	1	1	2	1	3	0	0	0	1	1	0	0.00	1.17	0.00	1.20	0.00	1.17	1.21	2.77	1.69	2.32	0.00	0.00	0.00	1.06	1.05	0.00
araA	2	3	0	0	0	1	0	1	0	3	2	1	1	1	0	0	7.02	3.50	0.00	0.00	0.00	1.17	0.00	1.38	0.00	2.32	2.25	1.08	3.32	1.06	0.00	0.00
araB	1	3	0	2	1	0	0	1	0	1	1	5	2	2	1	1	3.51	3.50	0.00	2.40	2.01	0.00	0.00	1.38	0.00	0.77	1.12	5.41	6.64	2.12	1.05	1.10
araC	0	1	2	2	0	0	1	2	2	4	6	4	0	4	0	3	0.00	1.17	14.43	2.40	0.00	0.00	1.21	2.77	3.37	3.10	6.75	4.32	0.00	4.24	0.00	3.29
SL1344_RS00530	1	4	0	9	3	7	2	2	1	11	4	3	0	3	9	1	3.51	4.67	0.00	10.81	6.04	8.16	2.41	2.77	1.69	8.52	4.50	3.24	0.00	3.18	9.45	1.10
