run_accession,corpus
SRR10024241,NCBI_Salmonella_Stage2
SRR10024242,NCBI_Salmonella_Stage2
SRR10056089,NCBI_Salmonella_Stage2
SRR10056099,NCBI_Salmonella_Stage2
SRR10173802,NCBI_Salmonella_Stage2
SRR10173803,NCBI_Salmonella_Stage2
SRR10173804,NCBI_Salmonella_Stage2
SRR10173805,NCBI_Salmonella_Stage2
SRR10173806,NCBI_Salmonella_Stage2
SRR10173807,NCBI_Salmonella_Stage2
SRR10320575,NCBI_Salmonella_Stage2
SRR10320576,NCBI_Salmonella_Stage2
SRR10320577,NCBI_Salmonella_Stage2
SRR1033744,NCBI_Salmonella_Stage2
SRR1033745,NCBI_Salmonella_Stage2
SRR1033746,NCBI_Salmonella_Stage2
SRR1033747,NCBI_Salmonella_Stage2
SRR1033748,NCBI_Salmonella_Stage2
SRR1033749,NCBI_Salmonella_Stage2
SRR1033750,NCBI_Salmonella_Stage2
SRR1033751,NCBI_Salmonella_Stage2
SRR1033752,NCBI_Salmonella_Stage2
SRR1033753,NCBI_Salmonella_Stage2
SRR1033754,NCBI_Salmonella_Stage2
SRR1033755,NCBI_Salmonella_Stage2
SRR10527267,NCBI_Salmonella_Stage2
SRR10527268,NCBI_Salmonella_Stage2
SRR10527269,NCBI_Salmonella_Stage2
SRR10527270,NCBI_Salmonella_Stage2
SRR10527271,NCBI_Salmonella_Stage2
SRR10527272,NCBI_Salmonella_Stage2
SRR10527273,NCBI_Salmonella_Stage2
SRR10527274,NCBI_Salmonella_Stage2
SRR10527275,NCBI_Salmonella_Stage2
SRR10527276,NCBI_Salmonella_Stage2
SRR10588329,NCBI_Salmonella_Stage2
SRR10721325,NCBI_Salmonella_Stage2
SRR10721326,NCBI_Salmonella_Stage2
SRR10721327,NCBI_Salmonella_Stage2
SRR10721328,NCBI_Salmonella_Stage2
SRR10721329,NCBI_Salmonella_Stage2
SRR10721330,NCBI_Salmonella_Stage2
SRR10721331,NCBI_Salmonella_Stage2
SRR10721332,NCBI_Salmonella_Stage2
SRR10721333,NCBI_Salmonella_Stage2
SRR10721334,NCBI_Salmonella_Stage2
SRR10721335,NCBI_Salmonella_Stage2
SRR10721336,NCBI_Salmonella_Stage2
SRR10721337,NCBI_Salmonella_Stage2
SRR10721338,NCBI_Salmonella_Stage2
SRR10721339,NCBI_Salmonella_Stage2
SRR10721340,NCBI_Salmonella_Stage2
SRR10721341,NCBI_Salmonella_Stage2
SRR10721342,NCBI_Salmonella_Stage2
SRR10802358,NCBI_Salmonella_Stage2
SRR10802359,NCBI_Salmonella_Stage2
SRR10802360,NCBI_Salmonella_Stage2
SRR10802361,NCBI_Salmonella_Stage2
SRR10802362,NCBI_Salmonella_Stage2
SRR10802363,NCBI_Salmonella_Stage2
SRR10802364,NCBI_Salmonella_Stage2
