gene,YB1_vs_WT_aer,dAsd_vs_WT_aer,residual_aer(YB1-dAsd),YB1_vs_WT_ana,dAsd_vs_WT_ana,residual_ana
SL1344_RS03200,-2.3189,0.1434,-2.4623,0.8055,2.0027,-1.1972
SL1344_RS03250,-0.6027,1.2429,-1.8456,-0.8905,-0.5333,-0.3572
SL1344_RS03280,2.2046,0.1434,2.0612,1.5425,-0.5333,2.0758
SL1344_RS03285,0.1343,-1.079,1.2133,0.8904,-0.2923,1.1827
SL1344_RS03290,0.2682,-0.8181,1.0863,-0.1262,-1.3255,1.1993
SL1344_RS03295,0.0633,0.0231,0.0402,0.5194,0.6891,-0.1697
SL1344_RS03300,-0.5178,-0.9941,0.4763,-0.6946,0.2552,-0.9498
SL1344_RS03305,0.0892,0.1434,-0.0542,0.488,-0.2438,0.7318
SL1344_RS03310,0.6197,2.9508,-2.3311,-0.0425,-0.5333,0.4908
SL1344_RS03315,-0.9653,0.8804,-1.8457,-0.0425,2.274,-2.3165
SL1344_RS03325,0.2571,-3.0265,3.2836,-0.5279,0.5662,-1.0941
SL1344_RS03335,-2.5502,-0.2192,-2.331,-0.0425,1.0517,-1.0942
SL1344_RS03360,-1.3992,-1.5998,0.2006,-1.2649,-2.6037,1.3388
SL1344_RS03380,-0.3237,-0.8,0.4763,-0.547,-1.1065,0.5595
SL1344_RS03395,0.6197,-3.316,3.9357,-1.2649,-1.7557,0.4908
SL1344_RS03400,1.5128,1.584,-0.0712,-2.7055,-0.1374,-2.5681
SL1344_RS03405,-0.4276,-1.6409,1.2133,-0.0425,0.4101,-0.4526
SL1344_RS03410,0.154,-1.0141,1.1681,-0.7344,0.3598,-1.0942
SL1344_RS03415,-0.572,-0.1024,-0.4696,-0.723,0.7511,-1.4741
SL1344_RS03420,0.0687,0.3294,-0.2607,0.017,0.9467,-0.9297
SL1344_RS03425,-0.2874,-0.4675,0.1801,0.1492,0.7791,-0.6299
SL1344_RS03430,-0.2709,-1.6683,1.3974,-0.2978,0.0901,-0.3879
SL1344_RS03530,-0.5178,-3.316,2.7982,-1.6275,0.2037,-1.8312
SL1344_RS03580,0.7314,-1.5839,2.3153,0.2816,-0.9808,1.2624
SL1344_RS03590,0.3148,0.7955,-0.4807,-1.0205,-1.2703,0.2498
SL1344_RS03615,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS03620,0.4546,-0.6737,1.1283,-0.1869,0.2838,-0.4707
SL1344_RS03625,-1.4958,-0.7497,-0.7461,-1.6275,0.2037,-1.8312
SL1344_RS03630,-0.1173,-0.5936,0.4763,1.5425,0.6891,0.8534
SL1344_RS03640,2.2046,0.1434,2.0612,-1.6275,-2.1183,0.4908
SL1344_RS03645,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS03650,-0.9653,-1.4416,0.4763,-1.6275,-2.1183,0.4908
SL1344_RS03655,0.6197,0.1434,0.4763,1.5425,-0.5333,2.0758
SL1344_RS03660,2.2046,2.4653,-0.2607,1.5425,2.274,-0.7315
SL1344_RS03665,0.6197,0.1434,0.4763,-1.6275,-2.1183,0.4908
SL1344_RS03670,0.6197,-1.4416,2.0613,1.5425,-0.5333,2.0758
SL1344_RS03675,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS03685,0.6197,-0.5936,1.2133,-2.3644,-0.0479,-2.3165
SL1344_RS03690,0.0988,-0.6531,0.7519,-1.421,-1.2951,-0.1259
SL1344_RS03805,-0.0839,-2.5196,2.4357,-1.917,1.1365,-3.0535
SL1344_RS03810,-0.1173,1.0485,-1.1658,0.1985,3.1671,-2.9686
SL1344_RS03815,-1.3063,2.582,-3.8883,-0.0425,4.4516,-4.4941
SL1344_RS03820,0.6197,2.2902,-1.6705,1.5425,3.3736,-1.8311
SL1344_RS03825,2.2046,3.6028,-1.3982,-1.6275,0.2037,-1.8312
SL1344_RS03845,2.9416,2.4653,0.4763,3.6579,3.5542,0.1037
SL1344_RS03855,0.6197,1.7284,-1.1087,-0.0425,-0.5333,0.4908
SL1344_RS03860,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS03865,-0.1173,-2.1785,2.0612,-0.0425,-1.2703,1.2278
SL1344_RS03870,2.2046,2.9508,-0.7462,-0.0425,1.7886,-1.8311
SL1344_RS03875,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS03880,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS03890,-1.7022,-2.1785,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS03895,0.6197,-1.4416,2.0613,1.5425,1.7886,-0.2461
SL1344_RS03900,2.2046,0.1434,2.0612,3.1274,1.7886,1.3388
SL1344_RS03905,-1.7022,0.1434,-1.8456,2.2794,2.274,0.0054
SL1344_RS03935,-0.9653,0.8804,-1.8457,-1.6275,-2.1183,0.4908
SL1344_RS03950,-0.2605,-0.9626,0.7021,0.2185,0.0316,0.1869
SL1344_RS03970,1.9982,1.7284,0.2698,1.5425,1.5173,0.0252
SL1344_RS03980,-0.0722,0.1434,-0.2156,-0.5279,2.3873,-2.9152
SL1344_RS03995,-0.6604,-1.6221,0.9617,1.095,1.2322,-0.1372
SL1344_RS04010,0.4132,1.1907,-0.7775,0.0887,0.8023,-0.7136
SL1344_RS04045,0.6197,0.1434,0.4763,-2.3644,-2.8552,0.4908
SL1344_RS04085,-1.4309,0.1434,-1.5743,0.488,0.1381,0.3499
SL1344_RS04090,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS04095,-0.9653,-1.4416,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS04100,0.6197,0.1434,0.4763,1.5425,1.0517,0.4908
SL1344_RS04105,0.6197,-1.079,1.6987,-0.0425,0.2037,-0.2462
SL1344_RS04115,0.6197,0.1434,0.4763,1.5425,-0.5333,2.0758
SL1344_RS04120,0.6197,0.1434,0.4763,0.6096,-0.5333,1.1429
SL1344_RS04125,-0.4583,-1.7826,1.3243,-0.332,0.2552,-0.5872
SL1344_RS04130,2.2046,1.3658,0.8388,0.6945,0.3842,0.3103
SL1344_RS04135,0.0892,0.1434,-0.0542,-1.917,-0.8228,-1.0942
SL1344_RS04175,-0.9653,-0.5936,-0.3717,0.1985,-0.8228,1.0213
SL1344_RS04220,-2.459,-3.7058,1.2468,-2.2188,-2.7096,0.4908
SL1344_RS04230,0.4592,-0.9346,1.3938,-0.6705,-0.5333,-0.1372
SL1344_RS04240,-1.4266,-1.3821,-0.0445,-0.1699,-0.7523,0.5824
SL1344_RS04245,-0.9653,1.3658,-2.3311,-0.0425,2.9261,-2.9686
SL1344_RS04255,0.0633,-1.6931,1.7564,-1.142,-0.3527,-0.7893
SL1344_RS04260,-1.9164,-0.8077,-1.1087,1.3111,0.6891,0.622
SL1344_RS04265,-2.4392,-1.6931,-0.7461,-1.6275,-0.3527,-1.2748
SL1344_RS04270,-1.7022,-0.5936,-1.1086,-0.0425,1.0517,-1.0942
SL1344_RS04320,-1.7022,-0.5936,-1.1086,-1.6275,-0.5333,-1.0942
SL1344_RS04325,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS04330,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS04335,0.6197,0.1434,0.4763,-0.0425,-0.5333,0.4908
SL1344_RS04340,-0.1173,-2.1785,2.0612,-0.7795,-0.5333,-0.2462
SL1344_RS04345,0.1343,-2.6639,2.7982,-0.0425,-0.0479,0.0054
SL1344_RS04350,-1.7022,-3.7635,2.0613,-1.9685,-4.7812,2.8127
SL1344_RS04355,-2.4392,-1.3305,-1.1087,0.505,-1.4264,1.9314
SL1344_RS04365,-0.2979,0.5795,-0.8774,0.505,0.8106,-0.3056
SL1344_RS04385,0.6197,2.0909,-1.4712,-0.5279,1.6135,-2.1414
SL1344_RS04390,-2.0433,0.2878,-2.3311,-1.4831,-0.6938,-0.7893
SL1344_RS04395,-2.4392,-2.1785,-0.2607,0.5855,0.2552,0.3303
SL1344_RS04400,-0.9194,-2.7322,1.8128,0.852,-1.3831,2.2351
SL1344_RS04405,-0.0324,-0.9941,0.9617,0.1639,-0.0908,0.2547
SL1344_RS04410,0.2327,0.8108,-0.5781,-0.4731,-0.278,-0.1951
SL1344_RS04415,0.5686,0.2404,0.3282,0.2267,0.849,-0.6223
SL1344_RS04420,-2.1877,0.1434,-2.3311,-0.0425,-1.0187,0.9762
SL1344_RS04435,-2.8398,-0.9941,-1.8457,0.6945,0.6891,0.0054
SL1344_RS04460,-1.4958,0.1434,-1.6392,-0.0425,2.1892,-2.2317
SL1344_RS04470,0.6197,0.1434,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS04475,-1.7022,-2.1785,0.4763,-0.0425,1.0517,-1.0942
SL1344_RS04480,1.1051,1.2809,-0.1758,2.2794,2.6366,-0.3572
SL1344_RS04510,0.1343,2.3804,-2.2461,2.3904,2.0027,0.3877
